Game ,14800000, mean_rew of 2523 finished g. ,-0.82838, of random ,-8.1478, corr_moves[max:17] ,12.68, mean_rew ,-50.0,   1:00:05.922260,playing t=9.96, lr=[0.01], batch=159120
Game ,14960000, mean_rew of 2552 finished g. ,-0.78605, of random ,-8.13, corr_moves[max:17] ,12.74, mean_rew ,-49.4,   1:00:44.939245,playing t=9.91, lr=[0.01], batch=159120
Game ,15120000, mean_rew of 2599 finished g. ,-0.72336, of random ,-8.1771, corr_moves[max:17] ,12.79, mean_rew ,-48.4,   1:01:23.868383,playing t=9.92, lr=[0.01], batch=159120
Game ,15280000, mean_rew of 2555 finished g. ,-0.77495, of random ,-8.156, corr_moves[max:17] ,12.73, mean_rew ,-49.3,   1:02:02.380040,playing t=10.01, lr=[0.01], batch=159120
Game ,15440000, mean_rew of 2601 finished g. ,-0.79777, of random ,-8.0836, corr_moves[max:17] ,12.76, mean_rew ,-48.4,   1:02:41.451209,playing t=10.09, lr=[0.01], batch=159120
Game ,15600000, mean_rew of 2546 finished g. ,-0.77533, of random ,-8.2054, corr_moves[max:17] ,12.64, mean_rew ,-49.5,   1:03:20.475544,playing t=9.92, lr=[0.01], batch=159120
Game ,15760000, mean_rew of 2531 finished g. ,-0.89964, of random ,-8.1243, corr_moves[max:17] ,12.63, mean_rew ,-49.8,   1:03:59.856261,playing t=10.15, lr=[0.01], batch=159120
Game ,15920000, mean_rew of 2581 finished g. ,-0.93375, of random ,-8.089, corr_moves[max:17] ,12.79, mean_rew ,-48.9,   1:04:39.004840,playing t=9.98, lr=[0.01], batch=159120
Game ,16080000, mean_rew of 2569 finished g. ,-0.92332, of random ,-8.0974, corr_moves[max:17] ,12.78, mean_rew ,-49.1,   1:05:17.935762,playing t=9.91, lr=[0.01], batch=159120
Game ,16240000, mean_rew of 2540 finished g. ,-0.90394, of random ,-8.0323, corr_moves[max:17] ,12.71, mean_rew ,-49.7,   1:05:56.770330,playing t=9.96, lr=[0.01], batch=159120
Game ,16400000, mean_rew of 2562 finished g. ,-0.83841, of random ,-8.189, corr_moves[max:17] ,12.69, mean_rew ,-49.2,   1:06:35.850453,playing t=10.14, lr=[0.01], batch=159120
Game ,16560000, mean_rew of 2596 finished g. ,-0.83821, of random ,-8.1651, corr_moves[max:17] ,12.75, mean_rew ,-48.5,   1:07:14.615901,playing t=9.97, lr=[0.01], batch=159120
Game ,16720000, mean_rew of 2564 finished g. ,-0.88885, of random ,-8.0217, corr_moves[max:17] ,12.81, mean_rew ,-49.2,   1:07:53.686415,playing t=10.13, lr=[0.01], batch=159120
Game ,16880000, mean_rew of 2582 finished g. ,-0.81913, of random ,-8.1912, corr_moves[max:17] ,12.67, mean_rew ,-48.8,   1:08:32.754776,playing t=10.04, lr=[0.01], batch=159120
Game ,17040000, mean_rew of 2569 finished g. ,-0.74815, of random ,-8.2203, corr_moves[max:17] ,12.73, mean_rew ,-49.0,   1:09:11.674304,playing t=10.01, lr=[0.01], batch=159120
Game ,17200000, mean_rew of 2611 finished g. ,-0.86174, of random ,-8.1912, corr_moves[max:17] ,12.81, mean_rew ,-48.2,   1:09:50.421912,playing t=10.09, lr=[0.01], batch=159120
Game ,17360000, mean_rew of 2576 finished g. ,-0.97632, of random ,-8.0836, corr_moves[max:17] ,12.85, mean_rew ,-49.0,   1:10:29.436597,playing t=10.09, lr=[0.01], batch=159120
Game ,17520000, mean_rew of 2532 finished g. ,-0.90008, of random ,-8.1711, corr_moves[max:17] ,12.71, mean_rew ,-49.8,   1:11:08.309997,playing t=9.98, lr=[0.01], batch=159120
Game ,17680000, mean_rew of 2495 finished g. ,-0.94188, of random ,-8.1348, corr_moves[max:17] ,12.59, mean_rew ,-50.6,   1:11:46.730218,playing t=9.99, lr=[0.01], batch=159120
Game ,17840000, mean_rew of 2525 finished g. ,-0.91446, of random ,-8.1398, corr_moves[max:17] ,12.69, mean_rew ,-50.0,   1:12:25.482776,playing t=10.06, lr=[0.01], batch=159120
Game ,18000000, mean_rew of 2562 finished g. ,-0.88486, of random ,-8.0794, corr_moves[max:17] ,12.75, mean_rew ,-49.2,   1:13:04.820902,playing t=9.98, lr=[0.01], batch=159120
Game ,18160000, mean_rew of 2598 finished g. ,-0.85912, of random ,-8.178, corr_moves[max:17] ,12.9, mean_rew ,-48.5,   1:13:43.868083,playing t=10.06, lr=[0.01], batch=159120
Game ,18320000, mean_rew of 2534 finished g. ,-0.91002, of random ,-8.0989, corr_moves[max:17] ,12.68, mean_rew ,-49.8,   1:14:22.561247,playing t=9.99, lr=[0.01], batch=159120
Game ,18480000, mean_rew of 2590 finished g. ,-0.90579, of random ,-8.118, corr_moves[max:17] ,12.82, mean_rew ,-48.7,   1:15:01.644663,playing t=10.03, lr=[0.01], batch=159120
Game ,18640000, mean_rew of 2562 finished g. ,-0.89617, of random ,-8.111, corr_moves[max:17] ,12.76, mean_rew ,-49.2,   1:15:40.779269,playing t=10.0, lr=[0.01], batch=159120
Game ,18800000, mean_rew of 2531 finished g. ,-0.97432, of random ,-8.0819, corr_moves[max:17] ,12.68, mean_rew ,-49.9,   1:16:19.739515,playing t=10.19, lr=[0.01], batch=159120
