Game ,0192000, reward ,-1.0, corr ,6.703, games_won ,[123.   0.   0.   0.], total ,-102.4,  Time ,0:09:26.431777,
Game ,0194000, reward ,-1.0, corr ,6.54, games_won ,[123.   0.   0.   0.], total ,-103.6,  Time ,0:09:35.733492,
Game ,0196000, reward ,-1.0, corr ,6.316, games_won ,[155.   0.   0.   0.], total ,-104.45,  Time ,0:09:44.984350,
Game ,0198000, reward ,-1.0, corr ,5.317, games_won ,[216.   0.   0.   0.], total ,-107.0,  Time ,0:09:52.825039,
Game ,0200000, reward ,-1.0, corr ,4.036, games_won ,[336.   0.   0.   0.], total ,-116.85,  Time ,0:09:58.948193,
Game ,0202000, reward ,-1.0, corr ,4.702, games_won ,[241.   0.   0.   0.], total ,-110.45,  Time ,0:10:05.893872,
Game ,0204000, reward ,-1.0, corr ,6.017, games_won ,[155.   0.   0.   0.], total ,-105.25,  Time ,0:10:14.532530,
Game ,0206000, reward ,-1.0, corr ,6.576, games_won ,[130.   0.   0.   0.], total ,-104.6,  Time ,0:10:23.813765,
Game ,0208000, reward ,-1.0, corr ,6.92, games_won ,[131.   0.   0.   0.], total ,-102.9,  Time ,0:10:33.572389,
Game ,0210000, reward ,-1.0, corr ,7.104, games_won ,[112.   0.   0.   0.], total ,-102.15,  Time ,0:10:43.440555,
Game ,0212000, reward ,-0.99908, corr ,7.167, games_won ,[103.   0.   0.   0.], total ,-103.052,  Time ,0:10:53.419307,
Game ,0214000, reward ,-1.0, corr ,7.498, games_won ,[92.  0.  0.  0.], total ,-102.25,  Time ,0:11:03.781692,
Game ,0216000, reward ,-0.99908, corr ,8.042, games_won ,[64.  0.  0.  0.], total ,-102.111,  Time ,0:11:14.886983,
Game ,0218000, reward ,-1.0, corr ,7.641, games_won ,[84.  0.  0.  0.], total ,-102.65,  Time ,0:11:25.607002,
Game ,0220000, reward ,-1.0, corr ,7.49, games_won ,[127.   0.   0.   0.], total ,-103.45,  Time ,0:11:36.133469,
Game ,0222000, reward ,-0.99908, corr ,6.87, games_won ,[158.   0.   0.   0.], total ,-105.15,  Time ,0:11:45.799975,
Game ,0224000, reward ,-1.0, corr ,7.012, games_won ,[129.   0.   0.   0.], total ,-103.95,  Time ,0:11:55.564950,
Game ,0226000, reward ,-1.0, corr ,6.781, games_won ,[148.   0.   0.   0.], total ,-105.0,  Time ,0:12:05.393771,
Game ,0228000, reward ,-1.0, corr ,4.418, games_won ,[326.   0.   0.   0.], total ,-123.35,  Time ,0:12:12.183409,
Game ,0230000, reward ,-1.0, corr ,3.608, games_won ,[342.   0.   0.   0.], total ,-121.75,  Time ,0:12:18.290363,
Game ,0232000, reward ,-1.0, corr ,4.525, games_won ,[319.   0.   0.   0.], total ,-114.05,  Time ,0:12:24.946686,
Game ,0234000, reward ,-1.0, corr ,5.652, games_won ,[251.   0.   0.   0.], total ,-108.0,  Time ,0:12:33.189170,
Game ,0236000, reward ,-1.0, corr ,6.107, games_won ,[193.   0.   0.   0.], total ,-104.75,  Time ,0:12:42.015841,
Game ,0238000, reward ,-1.0, corr ,6.741, games_won ,[169.   0.   0.   0.], total ,-104.1,  Time ,0:12:51.533362,
Game ,0240000, reward ,-1.0, corr ,7.164, games_won ,[134.   0.   0.   0.], total ,-103.6,  Time ,0:13:01.427747,
Game ,0242000, reward ,-0.99908, corr ,8.121, games_won ,[82.  0.  0.  1.], total ,-101.853,  Time ,0:13:12.680263,
Game ,0244000, reward ,-0.99724, corr ,8.223, games_won ,[94.  0.  0.  0.], total ,-102.422,  Time ,0:13:24.185316,
Game ,0246000, reward ,-0.99907, corr ,8.235, games_won ,[102.   0.   0.   0.], total ,-102.81,  Time ,0:13:35.701800,
Game ,0248000, reward ,-0.99908, corr ,8.371, games_won ,[84.  0.  0.  0.], total ,-102.35,  Time ,0:13:47.143196,
Game ,0250000, reward ,-1.0, corr ,8.114, games_won ,[94.  0.  0.  0.], total ,-102.2,  Time ,0:13:58.471922,
Game ,0252000, reward ,-0.99815, corr ,8.676, games_won ,[68.  0.  0.  0.], total ,-101.924,  Time ,0:14:10.537493,
Game ,0254000, reward ,-0.99816, corr ,8.553, games_won ,[111.   0.   0.   0.], total ,-102.559,  Time ,0:14:22.510264,
Game ,0256000, reward ,-0.99633, corr ,8.775, games_won ,[79.  0.  0.  0.], total ,-102.472,  Time ,0:14:34.755442,
Game ,0258000, reward ,-0.99632, corr ,7.646, games_won ,[158.   0.   0.   0.], total ,-103.32,  Time ,0:14:45.660141,
Game ,0260000, reward ,-0.99724, corr ,6.915, games_won ,[169.   0.   0.   0.], total ,-107.774,  Time ,0:14:55.895998,
Game ,0262000, reward ,-1.0, corr ,6.181, games_won ,[236.   0.   0.   0.], total ,-109.209,  Time ,0:15:04.885986,
Game ,0264000, reward ,-1.0, corr ,3.97, games_won ,[387.   0.   0.   0.], total ,-122.95,  Time ,0:15:11.102522,
Game ,0266000, reward ,-1.0, corr ,4.469, games_won ,[309.   0.   0.   0.], total ,-116.2,  Time ,0:15:17.777222,
Game ,0268000, reward ,-1.0, corr ,5.832, games_won ,[221.   0.   0.   0.], total ,-107.2,  Time ,0:15:26.156712,
Game ,0270000, reward ,-1.0, corr ,6.712, games_won ,[148.   0.   0.   0.], total ,-106.3,  Time ,0:15:35.704439,
Game ,0272000, reward ,-1.0, corr ,7.567, games_won ,[153.   0.   0.   0.], total ,-103.75,  Time ,0:15:46.460880,
Game ,0274000, reward ,-0.99724, corr ,8.138, games_won ,[112.   0.   0.   1.], total ,-104.054,  Time ,0:15:57.932111,
Game ,0276000, reward ,-0.99356, corr ,8.917, games_won ,[104.   0.   0.   0.], total ,-102.745,  Time ,0:16:10.344305,
Game ,0278000, reward ,-0.9899, corr ,9.171, games_won ,[85.  0.  0.  0.], total ,-102.814,  Time ,0:16:23.136341,
Game ,0280000, reward ,-0.96779, corr ,9.165, games_won ,[95.  0.  0.  0.], total ,-101.115,  Time ,0:16:36.078107,
Game ,0282000, reward ,-0.98526, corr ,8.61, games_won ,[126.   0.   0.   2.], total ,-102.6875,  Time ,0:16:48.103071,
Game ,0284000, reward ,-0.97977, corr ,9.05, games_won ,[130.   0.   0.   1.], total ,-102.615,  Time ,0:17:00.944612,
Game ,0286000, reward ,-0.9558, corr ,9.869, games_won ,[82.  0.  0.  1.], total ,-100.2395,  Time ,0:17:14.496038,
Game ,0288000, reward ,-0.93194, corr ,9.779, games_won ,[82.  0.  1.  1.], total ,-99.372,  Time ,0:17:28.003335,
Game ,0290000, reward ,-0.94478, corr ,9.715, games_won ,[85.  0.  0.  0.], total ,-100.4445,  Time ,0:17:41.450060,
