Game ,0412000, reward per game in 51 g. ,-2.0784, corr_moves ,2.538,  Time ,1:32:20.889554,
Game ,0414000, reward per game in 53 g. ,-1.3774, corr_moves ,2.492,  Time ,1:32:54.532026,
Game ,0416000, reward per game in 47 g. ,-1.766, corr_moves ,2.496,  Time ,1:33:28.653629,
Game ,0418000, reward per game in 59 g. ,-0.62712, corr_moves ,2.493,  Time ,1:34:02.951017,
Game ,0420000, reward per game in 59 g. ,-1.4407, corr_moves ,2.527,  Time ,1:34:37.177933,
Game ,0422000, reward per game in 56 g. ,-1.6607, corr_moves ,2.545,  Time ,1:35:10.882853,
Game ,0424000, reward per game in 53 g. ,-2.3962, corr_moves ,2.538,  Time ,1:35:45.369761,
Game ,0426000, reward per game in 53 g. ,-1.9057, corr_moves ,2.482,  Time ,1:36:19.470249,
Game ,0428000, reward per game in 64 g. ,-1.2656, corr_moves ,2.509,  Time ,1:36:54.120799,
Game ,0430000, reward per game in 54 g. ,-0.57407, corr_moves ,2.506,  Time ,1:37:28.560682,
Game ,0432000, reward per game in 48 g. ,-2.0833, corr_moves ,2.557,  Time ,1:38:03.585011,
Game ,0434000, reward per game in 62 g. ,-2.2581, corr_moves ,2.56,  Time ,1:38:38.021443,
Game ,0436000, reward per game in 41 g. ,-0.95122, corr_moves ,2.588,  Time ,1:39:12.506719,
Game ,0438000, reward per game in 56 g. ,-1.1071, corr_moves ,2.595,  Time ,1:39:47.262239,
Game ,0440000, reward per game in 58 g. ,-1.0345, corr_moves ,2.533,  Time ,1:40:22.035481,
Game ,0442000, reward per game in 66 g. ,-1.7879, corr_moves ,2.515,  Time ,1:40:56.288240,
Game ,0444000, reward per game in 58 g. ,-1.2414, corr_moves ,2.564,  Time ,1:41:30.774325,
Game ,0446000, reward per game in 61 g. ,-1.0984, corr_moves ,2.555,  Time ,1:42:05.399896,
Game ,0448000, reward per game in 71 g. ,-1.6056, corr_moves ,2.541,  Time ,1:42:39.303446,
Game ,0450000, reward per game in 75 g. ,-1.64, corr_moves ,2.587,  Time ,1:43:13.538299,
Game ,0452000, reward per game in 59 g. ,-1.1525, corr_moves ,2.562,  Time ,1:43:48.081285,
Game ,0454000, reward per game in 58 g. ,-1.1552, corr_moves ,2.574,  Time ,1:44:23.312040,
Game ,0456000, reward per game in 60 g. ,-1.4, corr_moves ,2.553,  Time ,1:44:59.070387,
Game ,0458000, reward per game in 66 g. ,-0.37879, corr_moves ,2.576,  Time ,1:45:34.688251,
Game ,0460000, reward per game in 53 g. ,-1.0377, corr_moves ,2.559,  Time ,1:46:09.914573,
Game ,0462000, reward per game in 65 g. ,-1.4923, corr_moves ,2.543,  Time ,1:46:45.508295,
Game ,0464000, reward per game in 73 g. ,-1.726, corr_moves ,2.492,  Time ,1:47:20.210376,
Game ,0466000, reward per game in 70 g. ,-1.6429, corr_moves ,2.581,  Time ,1:47:55.115130,
Game ,0468000, reward per game in 65 g. ,-1.4462, corr_moves ,2.512,  Time ,1:48:30.209567,
Game ,0470000, reward per game in 68 g. ,-2.3676, corr_moves ,2.507,  Time ,1:49:05.173774,
Game ,0472000, reward per game in 70 g. ,-1.3286, corr_moves ,2.589,  Time ,1:49:41.339526,
Game ,0474000, reward per game in 59 g. ,-2.0169, corr_moves ,2.578,  Time ,1:50:16.828064,
Game ,0476000, reward per game in 44 g. ,-1.7727, corr_moves ,2.535,  Time ,1:50:52.385064,
Game ,0478000, reward per game in 62 g. ,-1.0161, corr_moves ,2.57,  Time ,1:51:28.081416,
Game ,0480000, reward per game in 57 g. ,-1.8947, corr_moves ,2.559,  Time ,1:52:03.483175,
Game ,0482000, reward per game in 50 g. ,-0.76, corr_moves ,2.601,  Time ,1:52:39.035738,
Game ,0484000, reward per game in 62 g. ,-0.96774, corr_moves ,2.595,  Time ,1:53:14.397065,
Game ,0486000, reward per game in 64 g. ,-0.70312, corr_moves ,2.633,  Time ,1:53:49.749401,
Game ,0488000, reward per game in 62 g. ,-1.6613, corr_moves ,2.624,  Time ,1:54:25.428960,
Game ,0490000, reward per game in 38 g. ,-0.42105, corr_moves ,2.575,  Time ,1:55:01.269176,
Game ,0492000, reward per game in 62 g. ,-2.0968, corr_moves ,2.557,  Time ,1:55:37.449253,
Game ,0494000, reward per game in 49 g. ,-0.59184, corr_moves ,2.603,  Time ,1:56:13.298166,
Game ,0496000, reward per game in 64 g. ,-1.2656, corr_moves ,2.599,  Time ,1:56:48.898179,
Game ,0498000, reward per game in 46 g. ,-1.2391, corr_moves ,2.525,  Time ,1:57:24.311415,
Game ,0500000, reward per game in 61 g. ,-2.1475, corr_moves ,2.573,  Time ,1:57:59.976807,
Game ,0502000, reward per game in 56 g. ,-1.875, corr_moves ,2.579,  Time ,1:58:35.932248,
Game ,0504000, reward per game in 60 g. ,-0.066667, corr_moves ,2.617,  Time ,1:59:12.132011,
Game ,0506000, reward per game in 42 g. ,-2.0476, corr_moves ,2.596,  Time ,1:59:47.499899,
Game ,0508000, reward per game in 61 g. ,-1.1148, corr_moves ,2.527,  Time ,2:00:23.048519,
Game ,0510000, reward per game in 53 g. ,-1.8868, corr_moves ,2.597,  Time ,2:00:58.892193,
Game ,0512000, reward per game in 55 g. ,-0.67273, corr_moves ,2.539,  Time ,2:01:33.829787,
Game ,0514000, reward per game in 56 g. ,-0.78571, corr_moves ,2.558,  Time ,2:02:09.626240,
Game ,0516000, reward per game in 53 g. ,-0.73585, corr_moves ,2.485,  Time ,2:02:44.651113,
Game ,0518000, reward per game in 77 g. ,-0.51948, corr_moves ,2.556,  Time ,2:03:19.643128,
Game ,0520000, reward per game in 54 g. ,-0.59259, corr_moves ,2.525,  Time ,2:03:55.000971,
Game ,0522000, reward per game in 64 g. ,-1.4688, corr_moves ,2.592,  Time ,2:04:31.809579,
Game ,0524000, reward per game in 67 g. ,-1.6269, corr_moves ,2.571,  Time ,2:05:08.225779,
Game ,0526000, reward per game in 61 g. ,-1.9672, corr_moves ,2.581,  Time ,2:05:44.566501,
Game ,0528000, reward per game in 51 g. ,-1.7255, corr_moves ,2.565,  Time ,2:06:20.952545,
Game ,0530000, reward per game in 44 g. ,-1.0227, corr_moves ,2.562,  Time ,2:06:57.466116,
