Game ,8522500, mean_rew of 4405 finished g. ,-2.7491, of random ,-6.9892, corr_moves[max:17] ,15.97, mean_rew ,-14.3,00:36:48.96,playing t=6.75, lr=[0.01], batch=114133
Game ,8637600, mean_rew of 4473 finished g. ,-2.6604, of random ,-7.0657, corr_moves[max:17] ,16.01, mean_rew ,-12.9,00:37:17.72,playing t=6.65, lr=[0.01], batch=114481
Game ,8753100, mean_rew of 4460 finished g. ,-2.6798, of random ,-7.0102, corr_moves[max:17] ,16.08, mean_rew ,-13.2,00:37:46.58,playing t=6.81, lr=[0.01], batch=114928
Game ,8869000, mean_rew of 4429 finished g. ,-2.8219, of random ,-6.9539, corr_moves[max:17] ,16.04, mean_rew ,-13.9,00:38:15.30,playing t=6.77, lr=[0.01], batch=115212
Game ,8985300, mean_rew of 4476 finished g. ,-2.7719, of random ,-6.9762, corr_moves[max:17] ,16.1, mean_rew ,-13,00:38:44.58,playing t=6.74, lr=[0.01], batch=115571
Game ,9102000, mean_rew of 4532 finished g. ,-2.517, of random ,-7.0794, corr_moves[max:17] ,16.13, mean_rew ,-11.6,00:39:13.82,playing t=6.81, lr=[0.01], batch=115977
Game ,9219100, mean_rew of 4514 finished g. ,-2.5543, of random ,-7.1067, corr_moves[max:17] ,16.11, mean_rew ,-12,00:39:43.19,playing t=6.81, lr=[0.01], batch=116606
Game ,9336600, mean_rew of 4484 finished g. ,-2.6213, of random ,-7.0383, corr_moves[max:17] ,16.06, mean_rew ,-12.7,00:40:12.50,playing t=6.85, lr=[0.01], batch=117075
Game ,9454500, mean_rew of 4494 finished g. ,-2.6794, of random ,-7.0314, corr_moves[max:17] ,16.07, mean_rew ,-12.5,00:40:41.75,playing t=6.84, lr=[0.01], batch=117191
Game ,9572800, mean_rew of 4510 finished g. ,-2.4738, of random ,-7.1566, corr_moves[max:17] ,16.07, mean_rew ,-12,00:41:11.25,playing t=6.89, lr=[0.01], batch=117648
Game ,9691500, mean_rew of 4530 finished g. ,-2.2921, of random ,-7.1662, corr_moves[max:17] ,16.11, mean_rew ,-11.5,00:41:40.52,playing t=6.97, lr=[0.01], batch=118102
Game ,9810600, mean_rew of 4524 finished g. ,-2.3523, of random ,-7.1109, corr_moves[max:17] ,16.12, mean_rew ,-11.6,00:42:10.01,playing t=6.93, lr=[0.01], batch=118499
Game ,9930100, mean_rew of 4551 finished g. ,-2.1993, of random ,-7.255, corr_moves[max:17] ,16.21, mean_rew ,-11,00:42:39.70,playing t=7.05, lr=[0.01], batch=118862
Game ,10050000, mean_rew of 4529 finished g. ,-2.2634, of random ,-7.2453, corr_moves[max:17] ,16.19, mean_rew ,-11.5,00:43:09.50,playing t=6.96, lr=[0.01], batch=119269
Game ,10170300, mean_rew of 4543 finished g. ,-2.2529, of random ,-7.2098, corr_moves[max:17] ,16.19, mean_rew ,-11.2,00:43:39.27,playing t=7.0, lr=[0.01], batch=119630
Game ,10291000, mean_rew of 4515 finished g. ,-2.2365, of random ,-7.1722, corr_moves[max:17] ,16.15, mean_rew ,-11.7,00:44:09.33,playing t=7.0, lr=[0.01], batch=120150
Game ,10412100, mean_rew of 4461 finished g. ,-2.2208, of random ,-7.2135, corr_moves[max:17] ,16.06, mean_rew ,-12.8,00:44:39.18,playing t=7.11, lr=[0.01], batch=120430
Game ,10533600, mean_rew of 4504 finished g. ,-2.367, of random ,-7.2168, corr_moves[max:17] ,16.11, mean_rew ,-12.1,00:45:09.13,playing t=7.05, lr=[0.01], batch=120967
Game ,10655500, mean_rew of 4507 finished g. ,-2.1704, of random ,-7.1893, corr_moves[max:17] ,16.1, mean_rew ,-11.8,00:45:39.16,playing t=7.1, lr=[0.01], batch=121326
Game ,10777800, mean_rew of 4508 finished g. ,-2.1167, of random ,-7.217, corr_moves[max:17] ,16.08, mean_rew ,-11.7,00:46:09.34,playing t=7.13, lr=[0.01], batch=121745
Game ,10900500, mean_rew of 4551 finished g. ,-2.0009, of random ,-7.3097, corr_moves[max:17] ,16.13, mean_rew ,-10.8,00:46:39.69,playing t=7.14, lr=[0.01], batch=122210
Game ,11023600, mean_rew of 4592 finished g. ,-2.1749, of random ,-7.1508, corr_moves[max:17] ,16.23, mean_rew ,-10.2,00:47:10.01,playing t=7.16, lr=[0.01], batch=122488
Game ,11147100, mean_rew of 4499 finished g. ,-2.0769, of random ,-7.2687, corr_moves[max:17] ,16.06, mean_rew ,-11.9,00:47:40.23,playing t=7.13, lr=[0.01], batch=122908
Game ,11271000, mean_rew of 4538 finished g. ,-2.2316, of random ,-7.2043, corr_moves[max:17] ,16.14, mean_rew ,-11.3,00:48:10.91,playing t=7.26, lr=[0.01], batch=123382
Game ,11395300, mean_rew of 4570 finished g. ,-2.0893, of random ,-7.2538, corr_moves[max:17] ,16.21, mean_rew ,-10.5,00:48:41.37,playing t=7.3, lr=[0.01], batch=123664
Game ,11520000, mean_rew of 4524 finished g. ,-2.0051, of random ,-7.2603, corr_moves[max:17] ,16.14, mean_rew ,-11.3,00:49:11.75,playing t=7.36, lr=[0.01], batch=124091
Game ,11645100, mean_rew of 4503 finished g. ,-2.1548, of random ,-7.2048, corr_moves[max:17] ,16.02, mean_rew ,-11.9,00:49:42.02,playing t=7.29, lr=[0.01], batch=124367
Game ,11770600, mean_rew of 4547 finished g. ,-2.2635, of random ,-7.2432, corr_moves[max:17] ,16.09, mean_rew ,-11.1,00:50:12.64,playing t=7.28, lr=[0.01], batch=124733
Game ,11896500, mean_rew of 4522 finished g. ,-2.1561, of random ,-7.2592, corr_moves[max:17] ,16.09, mean_rew ,-11.5,00:50:43.18,playing t=7.33, lr=[0.01], batch=125184
Game ,12022800, mean_rew of 4534 finished g. ,-1.9539, of random ,-7.278, corr_moves[max:17] ,16.11, mean_rew ,-11.1,00:51:13.76,playing t=7.31, lr=[0.01], batch=125661
Game ,12149500, mean_rew of 4550 finished g. ,-2.0848, of random ,-7.1863, corr_moves[max:17] ,16.14, mean_rew ,-10.9,00:51:44.53,playing t=7.38, lr=[0.01], batch=126084
Game ,12276600, mean_rew of 4543 finished g. ,-2.018, of random ,-7.252, corr_moves[max:17] ,16.11, mean_rew ,-11,00:52:15.15,playing t=7.39, lr=[0.01], batch=126407
Game ,12404100, mean_rew of 4453 finished g. ,-2.166, of random ,-7.2027, corr_moves[max:17] ,16, mean_rew ,-12.9,00:52:46.04,playing t=7.41, lr=[0.01], batch=127003
Game ,12532000, mean_rew of 4526 finished g. ,-1.9512, of random ,-7.2598, corr_moves[max:17] ,16.09, mean_rew ,-11.2,00:53:17.15,playing t=7.5, lr=[0.01], batch=127355
