Game ,14880000, mean_rew of 4960 finished g. ,-2.3272, corr_moves[max:10] ,9.959, mean_rew ,-2.71,   1:24:19.918568,playing t=21.23, lr=[0.0001622044767235622]
Game ,15040000, mean_rew of 4972 finished g. ,-2.3333, corr_moves[max:10] ,9.972, mean_rew ,-2.6,   1:25:13.317574,playing t=20.04, lr=[0.0001622044767235622]
Game ,15200000, mean_rew of 4957 finished g. ,-2.3377, corr_moves[max:10] ,9.962, mean_rew ,-2.75,   1:26:06.518797,playing t=19.92, lr=[0.0001313856261460854]
Game ,15360000, mean_rew of 4956 finished g. ,-2.3168, corr_moves[max:10] ,9.956, mean_rew ,-2.74,   1:27:00.154095,playing t=20.08, lr=[0.00014598402905120598]
Game ,15520000, mean_rew of 4951 finished g. ,-2.3377, corr_moves[max:10] ,9.948, mean_rew ,-2.8,   1:27:53.504090,playing t=20.14, lr=[0.00014598402905120598]
Game ,15680000, mean_rew of 4962 finished g. ,-2.3218, corr_moves[max:10] ,9.964, mean_rew ,-2.68,   1:28:46.957748,playing t=19.94, lr=[0.0001313856261460854]
Game ,15840000, mean_rew of 4963 finished g. ,-2.2662, corr_moves[max:10] ,9.961, mean_rew ,-2.62,   1:29:40.097902,playing t=20.06, lr=[0.0001313856261460854]
Game ,16000000, mean_rew of 4950 finished g. ,-2.2632, corr_moves[max:10] ,9.957, mean_rew ,-2.74,   1:30:33.902215,playing t=20.17, lr=[0.00010642235717832917]
Game ,16160000, mean_rew of 4969 finished g. ,-2.2886, corr_moves[max:10] ,9.971, mean_rew ,-2.58,   1:31:27.732065,playing t=20.23, lr=[0.00011824706353147685]
Game ,16320000, mean_rew of 4964 finished g. ,-2.3592, corr_moves[max:10] ,9.969, mean_rew ,-2.7,   1:32:20.810352,playing t=20.01, lr=[0.00011824706353147685]
Game ,16480000, mean_rew of 4966 finished g. ,-2.3159, corr_moves[max:10] ,9.972, mean_rew ,-2.64,   1:33:14.479220,playing t=20.03, lr=[0.00010642235717832917]
Game ,16640000, mean_rew of 4952 finished g. ,-2.3174, corr_moves[max:10] ,9.959, mean_rew ,-2.78,   1:34:07.929326,playing t=20.0, lr=[0.00010642235717832917]
Game ,16800000, mean_rew of 4964 finished g. ,-2.276, corr_moves[max:10] ,9.967, mean_rew ,-2.62,   1:35:01.599950,playing t=20.13, lr=[8.620210931444663e-05]
Game ,16960000, mean_rew of 4961 finished g. ,-2.3699, corr_moves[max:10] ,9.961, mean_rew ,-2.74,   1:35:54.984195,playing t=19.99, lr=[9.578012146049625e-05]
Game ,17120000, mean_rew of 4959 finished g. ,-2.2916, corr_moves[max:10] ,9.962, mean_rew ,-2.68,   1:36:48.633911,playing t=20.03, lr=[9.578012146049625e-05]
Game ,17280000, mean_rew of 4964 finished g. ,-2.3201, corr_moves[max:10] ,9.967, mean_rew ,-2.66,   1:37:42.646926,playing t=20.26, lr=[8.620210931444663e-05]
Game ,17440000, mean_rew of 4965 finished g. ,-2.3515, corr_moves[max:10] ,9.97, mean_rew ,-2.69,   1:38:36.216000,playing t=19.97, lr=[8.620210931444663e-05]
Game ,17600000, mean_rew of 4954 finished g. ,-2.3078, corr_moves[max:10] ,9.959, mean_rew ,-2.75,   1:39:29.904642,playing t=20.01, lr=[6.982370854470178e-05]
Game ,17760000, mean_rew of 4967 finished g. ,-2.298, corr_moves[max:10] ,9.961, mean_rew ,-2.61,   1:40:23.411328,playing t=19.99, lr=[7.758189838300197e-05]
