Game ,20111000, mean_rew of 4161 finished g. ,-0.54314, of random ,-2.4856, corr_moves[max:10] ,9.23, mean_rew ,-17.2,   1:40:27.009570,playing t=25.44, lr=[0.008], batch=203887
Game ,20315300, mean_rew of 4132 finished g. ,-0.48669, of random ,-2.5044, corr_moves[max:10] ,9.23, mean_rew ,-17.8,   1:41:27.340743,playing t=24.99, lr=[0.008], batch=204289
Game ,20520000, mean_rew of 4117 finished g. ,-0.49745, of random ,-2.5009, corr_moves[max:10] ,9.177, mean_rew ,-18.1,   1:42:28.149370,playing t=25.51, lr=[0.008], batch=204683
Game ,20725100, mean_rew of 4154 finished g. ,-0.50457, of random ,-2.4985, corr_moves[max:10] ,9.246, mean_rew ,-17.3,   1:43:29.197098,playing t=25.47, lr=[0.008], batch=205097
Game ,20930600, mean_rew of 4112 finished g. ,-0.51508, of random ,-2.495, corr_moves[max:10] ,9.207, mean_rew ,-18.2,   1:44:29.830113,playing t=25.64, lr=[0.008], batch=205481
Game ,21136500, mean_rew of 4148 finished g. ,-0.5135, of random ,-2.4955, corr_moves[max:10] ,9.234, mean_rew ,-17.5,   1:45:30.636521,playing t=25.49, lr=[0.008], batch=205888
Game ,21342800, mean_rew of 4168 finished g. ,-0.51943, of random ,-2.4935, corr_moves[max:10] ,9.253, mean_rew ,-17.1,   1:46:31.417676,playing t=25.04, lr=[0.008], batch=206268
Game ,21549500, mean_rew of 4146 finished g. ,-0.49807, of random ,-2.5006, corr_moves[max:10] ,9.249, mean_rew ,-17.5,   1:47:33.022109,playing t=25.75, lr=[0.008], batch=206671
Game ,21756600, mean_rew of 4130 finished g. ,-0.55206, of random ,-2.4826, corr_moves[max:10] ,9.221, mean_rew ,-17.9,   1:48:34.174259,playing t=25.74, lr=[0.008], batch=207077
Game ,21964100, mean_rew of 4157 finished g. ,-0.51022, of random ,-2.4966, corr_moves[max:10] ,9.254, mean_rew ,-17.3,   1:49:35.861751,playing t=25.8, lr=[0.008], batch=207482
Game ,22172000, mean_rew of 4143 finished g. ,-0.51195, of random ,-2.496, corr_moves[max:10] ,9.232, mean_rew ,-17.6,   1:50:37.271510,playing t=25.74, lr=[0.008], batch=207882
Game ,22380300, mean_rew of 4189 finished g. ,-0.51587, of random ,-2.4947, corr_moves[max:10] ,9.26, mean_rew ,-16.7,   1:51:39.286093,playing t=25.98, lr=[0.008], batch=208268
Game ,22589000, mean_rew of 4147 finished g. ,-0.47552, of random ,-2.5082, corr_moves[max:10] ,9.249, mean_rew ,-17.5,   1:52:40.974867,playing t=25.86, lr=[0.008], batch=208686
Game ,22798100, mean_rew of 4129 finished g. ,-0.52119, of random ,-2.4929, corr_moves[max:10] ,9.214, mean_rew ,-17.9,   1:53:43.101805,playing t=25.74, lr=[0.008], batch=209063
Game ,23007600, mean_rew of 4197 finished g. ,-0.5137, of random ,-2.4954, corr_moves[max:10] ,9.267, mean_rew ,-16.5,   1:54:45.133188,playing t=25.6, lr=[0.008], batch=209494
Game ,23217500, mean_rew of 4183 finished g. ,-0.5312, of random ,-2.4896, corr_moves[max:10] ,9.271, mean_rew ,-16.8,   1:55:47.616606,playing t=26.06, lr=[0.008], batch=209874
Game ,23427800, mean_rew of 4218 finished g. ,-0.52347, of random ,-2.4922, corr_moves[max:10] ,9.292, mean_rew ,-16.1,   1:56:49.995824,playing t=25.65, lr=[0.008], batch=210277
Game ,23638500, mean_rew of 4202 finished g. ,-0.51642, of random ,-2.4945, corr_moves[max:10] ,9.293, mean_rew ,-16.4,   1:57:54.249919,playing t=26.83, lr=[0.008], batch=210664
Game ,23849600, mean_rew of 4168 finished g. ,-0.48728, of random ,-2.5042, corr_moves[max:10] ,9.248, mean_rew ,-17.0,   1:58:56.386806,playing t=25.71, lr=[0.008], batch=211076
Game ,24061100, mean_rew of 4185 finished g. ,-0.48315, of random ,-2.5056, corr_moves[max:10] ,9.287, mean_rew ,-16.7,   1:59:58.816985,playing t=26.18, lr=[0.008], batch=211478
Game ,24273000, mean_rew of 4183 finished g. ,-0.46832, of random ,-2.5106, corr_moves[max:10] ,9.257, mean_rew ,-16.7,   2:01:01.371087,playing t=26.18, lr=[0.008], batch=211888
Game ,24485300, mean_rew of 4217 finished g. ,-0.52336, of random ,-2.4922, corr_moves[max:10] ,9.308, mean_rew ,-16.1,   2:02:04.220632,playing t=26.42, lr=[0.008], batch=212280
Game ,24698000, mean_rew of 4258 finished g. ,-0.50117, of random ,-2.4996, corr_moves[max:10] ,9.312, mean_rew ,-15.3,   2:03:06.674788,playing t=26.35, lr=[0.008], batch=212683
Game ,24911100, mean_rew of 4236 finished g. ,-0.47427, of random ,-2.5086, corr_moves[max:10] ,9.305, mean_rew ,-15.7,   2:04:09.716921,playing t=26.52, lr=[0.008], batch=213098
Game ,25124600, mean_rew of 4249 finished g. ,-0.47776, of random ,-2.5074, corr_moves[max:10] ,9.327, mean_rew ,-15.4,   2:05:12.366472,playing t=26.26, lr=[0.008], batch=213479
Game ,25338500, mean_rew of 4248 finished g. ,-0.49082, of random ,-2.5031, corr_moves[max:10] ,9.331, mean_rew ,-15.5,   2:06:15.202253,playing t=26.39, lr=[0.008], batch=213890
Game ,25552800, mean_rew of 4213 finished g. ,-0.47709, of random ,-2.5076, corr_moves[max:10] ,9.299, mean_rew ,-16.1,   2:07:18.206348,playing t=26.44, lr=[0.008], batch=214289
Game ,25767500, mean_rew of 4201 finished g. ,-0.49226, of random ,-2.5026, corr_moves[max:10] ,9.296, mean_rew ,-16.4,   2:08:21.157438,playing t=26.36, lr=[0.008], batch=214682
Game ,25982600, mean_rew of 4221 finished g. ,-0.48069, of random ,-2.5064, corr_moves[max:10] , 9.3, mean_rew ,-16.0,   2:09:24.835279,playing t=26.72, lr=[0.008], batch=215080
Game ,26198100, mean_rew of 4240 finished g. ,-0.4842, of random ,-2.5053, corr_moves[max:10] ,9.324, mean_rew ,-15.6,   2:10:27.997883,playing t=26.54, lr=[0.008], batch=215476
